Years,Indianapolis Colts,New Orleans Saints,Seattle Seahawks,Tampa Bay Buccaneers,Pittsburgh Steelers,Cleveland Browns,Green Bay Packers,Philadelphia Eagles,Tennessee Titans,Jacksonville Jaguars,Dallas Cowboys,New York Giants,New England Patriots,New York Jets,Minnesota Vikings,Atlanta Falcons,Washington Redskins,Miami Dolphins,Carolina Panthers,St. Louis Rams,San Diego Chargers,Chicago Bears,Denver Broncos,Buffalo Bills,Detroit Lions,Oakland Raiders,Houston Texans,Kansas City Chiefs,San Francisco 49ers,Arizona Cardinals,Cincinnati Bengals,Baltimore Ravens
1970,0.058162,0.0295168,-0.0,-0.0,0.015024,0.0258263,0.0380471,0.0246416,0.0096663,-0.0,0.0616945,0.0515209,0.0139708,0.0369695,0.0832486,0.0280969,0.0327631,0.0522085,-0.0,0.0537315,0.0239159,0.0256749,0.0187598,0.0209477,0.0679474,0.0428797,-0.0,0.0450587,0.0653397,0.0496542,0.0247337,-0.0
1971,0.061942,0.051236,-0.0,-0.0,0.0167081,0.0401973,0.0224906,0.0201472,0.010985,-0.0,0.0691385,0.0150885,0.0454071,0.0374913,0.0536034,0.0457729,0.0517983,0.0644545,-0.0,0.053633,0.0332759,0.0581283,0.0302601,0.006331,0.0391717,0.0352913,-0.0,0.0526834,0.0580999,0.0155154,0.0111495,-0.0
1972,0.027211,0.0092458,-0.0,-0.0,0.0705198,0.0555949,0.0607608,0.0092318,0.0041727,-0.0,0.0694982,0.033025,0.0286988,0.0257868,0.0373043,0.0261563,0.0794503,0.0932446,-0.0,0.031176,0.021404,0.0233021,0.0241401,0.0404698,0.0313602,0.0551894,-0.0,0.0425863,0.0410377,0.0157411,0.0436922,-0.0
1973,0.0754356,0.020312,-0.0,-0.0,0.0570176,0.0559125,0.0128416,0.0161591,0.0078834,-0.0,0.0471088,0.0039879,0.0124848,0.0189561,0.0651119,0.0494982,0.0314889,0.0979425,-0.0,0.0487527,0.0149773,0.0097758,0.0455981,0.040669,0.0188423,0.1034526,-0.0,0.0384355,0.0231617,0.0215827,0.0626116,-0.0
1974,0.0062132,0.025586,-0.0,-0.0,0.0751112,0.0262286,0.0338591,0.0206624,0.0576843,-0.0,0.0374839,0.010518,0.0434601,0.032698,0.0568596,0.0067566,0.0528712,0.0487476,-0.0,0.0557445,0.0248474,0.0129414,0.0614631,0.0537956,0.0310332,0.0819373,-0.0,0.0359259,0.0132651,0.0479985,0.0463082,-0.0
1975,0.0553608,0.0036674,-0.0,-0.0,0.0976448,0.0211058,0.0242908,0.023697,0.0550196,-0.0,0.0853863,0.0222047,0.0153028,0.0085067,0.0347658,0.0097915,0.0501303,0.0430425,-0.0,0.0799795,0.0061288,0.0090084,0.0137641,0.075729,0.0237296,0.0572144,-0.0,0.0396414,0.0323046,0.0468602,0.0657233,-0.0
1976,0.0604775,0.0123697,0.0030064,0.0,0.0539519,0.0268825,0.0114463,0.0067357,0.0101428,-0.0,0.051927,0.0172333,0.1118917,0.0006029,0.0634157,0.0275209,0.0543278,0.0343482,-0.0,0.0539461,0.0241649,0.0461025,0.0273807,0.0030105,0.0454996,0.1001293,-0.0,0.0250533,0.0394094,0.0529836,0.0360397,-0.0
1977,0.0513598,0.014702,0.0078258,0.0109341,0.0783927,0.0268352,0.0062872,0.0102125,0.0335584,-0.0,0.1026619,0.0280268,0.0375081,0.0116072,0.0286329,0.0211719,0.0350545,0.0413166,-0.0,0.0385489,0.0460852,0.0244434,0.1055837,0.0131106,0.0210405,0.0808932,-0.0,0.0074102,0.0096846,0.0649465,0.0421657,-0.0
1978,0.026912,0.0277692,0.0318085,0.0153764,0.0754054,0.037195,0.0277268,0.030999,0.0753763,-0.0,0.0564616,0.0117117,0.0422879,0.0321737,0.0371389,0.0454012,0.034408,0.0496592,-0.0,0.0819842,0.0461159,0.0213303,0.0412269,0.0111122,0.0233803,0.0379922,-0.0,0.0157274,0.0048898,0.0191197,0.0393101,-0.0
1979,0.0179908,0.0236753,0.053007,0.0297393,0.0768116,0.0504572,0.0108845,0.0612469,0.0791416,-0.0,0.040385,0.0239878,0.034044,0.0249655,0.0126424,0.0332293,0.0397115,0.0273541,-0.0,0.0353315,0.072528,0.0220625,0.0481071,0.0195621,0.006532,0.0502269,-0.0,0.0363597,0.0078793,0.0218231,0.0403142,-0.0
1980,0.0450345,0.0026836,0.0177015,0.0142698,0.0375154,0.0369138,0.0127566,0.0604029,0.0415273,-0.0,0.0650742,0.0185588,0.046564,0.0287222,0.0261897,0.050656,0.0200728,0.0449709,-0.0,0.0415164,0.0732554,0.0123237,0.0414423,0.0642512,0.0189287,0.070244,-0.0,0.0451004,0.0142268,0.0225675,0.0265295,-0.0
1981,0.0014866,0.0223448,0.0323354,0.0401794,0.0284341,0.0445998,0.0335987,0.0332809,0.033923,-0.0,0.0458163,0.0391054,0.0090738,0.0341321,0.0337713,0.0439793,0.0273998,0.0338943,-0.0,0.0291748,0.0465101,0.0311789,0.0422831,0.0375507,0.057235,0.0260819,-0.0,0.0361585,0.0737235,0.0252166,0.0575316,-0.0
1982,0.0045345,0.013015,0.0217243,0.0528392,0.0688936,0.0335795,0.0285255,0.0401769,0.0046621,-0.0,0.1059036,0.019551,0.0489685,0.0642076,0.049169,0.0108285,0.0901586,0.0823446,-0.0,0.0077733,0.0361304,0.0158632,0.0033074,0.0357974,0.0223072,0.0390562,-0.0,0.0310799,0.0111788,0.0196208,0.0388034,-0.0
1983,0.0236985,0.0311938,0.0694196,0.0037265,0.033392,0.0270895,0.044405,0.0223993,0.0074099,-0.0,0.065201,0.0146039,0.0375108,0.0320897,0.0247096,0.0329812,0.0834465,0.0448704,-0.0,0.0442022,0.032607,0.0254156,0.0327774,0.0274382,0.0281296,0.0757648,-0.0,0.0241258,0.0485194,0.0436115,0.0192614,-0.0
1984,0.0197761,0.0305575,0.0684519,0.0132962,0.0889876,0.0200289,0.0223396,0.0177153,0.0248066,-0.0,0.0328992,0.0375984,0.0306885,0.0240689,0.0031989,0.0127645,0.0304442,0.0717499,-0.0,0.0339156,0.0379428,0.0415187,0.0688349,0.006603,0.0067334,0.0702213,-0.0,0.060047,0.0649181,0.0323698,0.027523,-0.0
1985,0.0145238,0.0183865,0.0343985,0.0079415,0.0179076,0.0377239,0.0254009,0.0179533,0.0328017,-0.0,0.0355716,0.0322097,0.0818646,0.0576017,0.0205875,0.0127217,0.0307939,0.10284,-0.0,0.0373294,0.030879,0.083974,0.0352086,0.0049432,0.0471612,0.0680782,-0.0,0.0263185,0.0440486,0.0179405,0.0228905,-0.0
1986,0.0112119,0.0170968,0.094176,0.0020103,0.020563,0.0397704,0.0093631,0.0257941,0.0143059,-0.0,0.0637923,0.0928932,0.0313477,0.0530131,0.023656,0.0227964,0.060685,0.0217726,-0.0,0.0405144,0.020403,0.0399921,0.0812336,0.0121893,0.0084641,0.0472092,-0.0,0.054331,0.0319627,0.0121756,0.0472771,-0.0
1987,0.0490952,0.0617167,0.0395705,0.0120958,0.0389901,0.0449693,0.0261498,0.0535559,0.0434032,-0.0,0.0313347,0.0307166,0.0455565,0.0284096,0.0465538,0.0221793,0.0566728,0.0439538,-0.0,0.0285342,0.0267906,0.0347791,0.0457584,0.0439609,0.0097653,0.0164349,-0.0,0.012328,0.0593671,0.0319871,0.0153709,-0.0
1988,0.0461837,0.0308141,0.0393049,0.0218396,0.0192907,0.0437495,0.0290295,0.0315408,0.0508359,-0.0,0.0076843,0.0205923,0.0518236,0.0326996,0.0532711,0.0242578,0.0216403,0.0256513,-0.0,0.0458845,0.0205765,0.0509835,0.0414232,0.0631462,0.0102815,0.0328435,-0.0,0.0309964,0.0613275,0.0279476,0.0643805,-0.0
1989,0.0297503,0.0341579,0.0283661,0.0240278,0.0387812,0.0471021,0.0606611,0.0459271,0.0383917,-0.0,0.0045451,0.0418426,0.0189555,0.0105199,0.0500305,0.0077689,0.0281276,0.0318005,-0.0,0.0708814,0.0314821,0.04197,0.0504204,0.0400371,0.0317007,0.0317126,-0.0,0.0381175,0.0736089,0.0081128,0.0412007,-0.0
1990,0.0357528,0.0433968,0.0287233,0.0115904,0.0214632,0.0067591,0.0189014,0.0655346,0.0474989,-0.0,0.0262095,0.1041903,0.0040986,0.0114425,0.0191643,0.0212097,0.0707769,0.0577634,-0.0,0.0368218,0.0101581,0.0267029,0.0173488,0.0907835,0.0172717,0.0416321,-0.0,0.0319575,0.0886169,0.0201749,0.024056,-0.0
1991,0.0017064,0.0534911,0.0142739,0.0285434,0.0148877,0.0124272,0.0085988,0.0903135,0.0434098,-0.0,0.0949463,0.0446305,0.0230901,0.0130114,0.0279079,0.0464314,0.1001759,0.0165586,-0.0,0.0081779,0.0170069,0.0435884,0.0365337,0.0365058,0.0631021,0.0315,-0.0,0.03641,0.0574332,0.025674,0.0096642,-0.0
1992,0.03989,0.0384387,0.0046506,0.0137309,0.0406268,0.0253754,0.0349269,0.069717,0.0468302,-0.0,0.081397,0.0238603,0.00817,0.0271093,0.0311644,0.0163235,0.0582755,0.0482555,-0.0,0.0359807,0.0369156,0.0156843,0.0318661,0.0708327,0.0120884,0.0369604,-0.0,0.0443916,0.0637293,0.0329804,0.0098285,-0.0
1993,0.0108972,0.0334089,0.0190719,0.0231139,0.0418934,0.0288027,0.04003,0.0260862,0.0474585,-0.0,0.0604602,0.0391666,0.0154731,0.0307302,0.0421387,0.0362341,0.0242005,0.057562,-0.0,0.024289,0.0387789,0.0366003,0.0398591,0.067788,0.0302866,0.0492794,-0.0,0.0620477,0.0390684,0.0211966,0.0140779,-0.0
1994,0.0296055,0.0185036,0.0242764,0.0215928,0.0510188,0.0413221,0.0422278,0.0370699,0.0045079,-0.0,0.0430079,0.0298963,0.0537029,0.0344591,0.0659278,0.0240041,0.0073163,0.0524883,-0.0,0.017682,0.0565015,0.042319,0.0321795,0.0411893,0.0472307,0.0344315,-0.0,0.0487956,0.0614841,0.0299921,0.0072675,-0.0
1995,0.0435,0.0317427,0.0275556,0.0316327,0.0401349,0.0230226,0.0487574,0.0457853,0.0197937,0.0135176,0.063713,0.0161784,0.0214066,0.0105216,0.0346203,0.0363468,0.0475435,0.042878,0.0287663,0.0279791,0.0317235,0.0302287,0.0275708,0.0396373,0.0437081,0.0304607,-0.0,0.0420645,0.0544358,0.0186078,0.0261667,-0.0
1996,0.0430153,0.011463,0.032012,0.0240214,0.0437609,-0.0,0.0631803,0.0391347,0.0190687,0.0406515,0.0627323,0.0252846,0.0479882,0.0030166,0.0436442,0.0095845,0.0404111,0.0357652,0.0395562,0.0118768,0.0450757,0.029561,0.0518017,0.0508075,0.0124315,0.0297596,-0.0,0.0548472,0.0296264,0.0244809,0.0235892,0.0118515
1997,0.0309108,0.0147815,0.0239449,0.0476224,0.0589851,-0.0,0.0623173,0.0414565,0.0301792,0.0529025,0.029385,0.0326136,0.0420003,0.0316697,0.0313431,0.0136713,0.02913,0.0432316,0.0116429,0.0130909,0.0086407,0.0172131,0.0723161,0.0271587,0.0472862,0.0238705,-0.0,0.0597129,0.0452426,0.0115667,0.0221023,0.0240114
1998,0.0227835,0.0173943,0.0146855,0.0379859,0.0235393,-0.0,0.0379926,0.006785,0.0242672,0.0366811,0.0240575,0.0462684,0.0451368,0.0825126,0.0465048,0.0781421,0.0165619,0.0658028,0.0099071,0.0342621,0.0153387,0.0116066,0.0765441,0.0470731,0.0199964,0.0195587,-0.0,0.0149919,0.0712942,0.0166678,0.0074471,0.0282108
1999,0.0666981,0.0075451,0.0378524,0.0401351,0.0063055,0.001217,0.0328881,0.0312363,0.061996,0.0271808,0.0364477,0.0361887,0.037664,0.0484576,0.0377012,0.0067049,0.0398449,0.0597318,0.0119495,0.0389473,0.0280514,0.0239387,0.028542,0.0639171,0.0438527,0.0464875,-0.0,0.0334854,0.0197258,0.0242457,0.002478,0.0185833
2000,0.0573732,0.0181735,0.0142344,0.0523973,0.0439404,0.0090144,0.0511871,0.0288394,0.056954,0.0228106,0.014892,0.0418274,0.0216097,0.0580204,0.0502486,0.0074612,0.0465062,0.0597911,0.0189673,0.0309691,0.0024608,0.0316214,0.033052,0.0380302,0.0461329,0.0399709,-0.0,0.0200835,0.0081504,0.007777,0.0093245,0.0581792
2001,0.017948,0.0307831,0.0234975,0.0546451,0.0551535,0.029882,0.0543349,0.0407305,0.0344177,0.0319817,0.0174056,0.0177861,0.0600586,0.0440621,0.0242199,0.0195041,0.0251009,0.0385461,0.0023082,0.0710737,0.0146812,0.0449697,0.0310193,0.0106885,0.003967,0.0327036,-0.0,0.0171061,0.0364183,0.0179349,0.0428834,0.0541885
2002,0.0351351,0.0568185,0.0222051,0.0540666,0.0465388,0.035624,0.0345145,0.0455147,0.050706,0.0248636,0.0190942,0.0350664,0.0313913,0.0362148,0.0225133,0.0398412,0.0234088,0.0381893,0.0209301,0.0254294,0.0327522,0.0134495,0.0317448,0.0212958,0.0109858,0.0561483,0.0169119,0.0357348,0.0365522,0.012482,0.0094712,0.0244058
2003,0.0623572,0.0266401,0.0221542,0.0328637,0.0091757,0.0086379,0.0270773,0.0560072,0.0463446,0.0243536,0.0455598,0.0170298,0.0958551,0.0245018,0.0297928,0.0247443,0.0521539,0.0367239,0.0548007,0.0284132,0.0071672,0.017716,0.0299327,0.0566282,0.0133544,0.0103799,0.0285134,0.028897,0.0257694,0.0138017,0.0222023,0.020451
2004,0.0497461,0.0189673,0.0207232,0.0137006,0.1093025,0.0199902,0.0189424,0.033071,0.0200514,0.0352423,0.0085866,0.0102783,0.1100489,0.0427635,0.0201023,0.0312748,0.0078846,0.0554359,0.0145767,0.0250273,0.0372916,0.009306,0.040486,0.0304709,0.0131109,0.0161944,0.0230783,0.0393909,0.0032554,0.0154951,0.0363301,0.0698744
2005,0.0652743,0.0097664,0.0497841,0.0322039,0.0685391,0.0163043,0.016118,0.0223751,0.0042344,0.0475097,0.0375309,0.0478287,0.0492493,0.0149024,0.0204123,0.0171824,0.0449834,0.0451013,0.0348904,0.017858,0.0559328,0.0251725,0.0707093,0.0239653,0.0076046,0.0145262,0.002468,0.056961,0.0093173,0.0063901,0.038254,0.0266505
2006,0.0890112,0.0280711,0.0222903,0.0126659,0.0223537,0.0127973,0.0193081,0.0336528,0.055499,0.0585458,0.0478047,0.0263969,0.0646455,0.0436734,0.0107589,0.0147813,0.0252269,0.0381402,0.02628,0.0153894,0.0425711,0.0304117,0.0403602,0.0305742,0.010828,0.0034162,0.0445532,0.0327577,0.0156441,0.0087625,0.0282419,0.0445866
2007,0.0371456,0.0176311,0.0291838,0.0249464,0.0141567,0.012593,0.0730524,0.0466935,0.0284266,0.0303619,0.1006578,0.1126628,0.0918077,0.0037471,0.0489591,0.0101595,0.0712769,0.0005976,0.0147051,0.0041848,0.0418353,0.0496389,0.0184269,0.0117493,0.0263943,0.0061526,0.0188922,0.0159936,0.0089104,0.0146399,0.0088432,0.0055739
2008,0.0798466,0.0190963,0.0076557,0.0285875,0.0599006,0.0168823,0.0263896,0.0606122,0.0712039,0.024906,0.0354981,0.0653641,0.0233379,0.037443,0.0397862,0.0331176,0.0310394,0.0245769,0.034669,0.0085802,0.0331327,0.0373958,0.024099,0.0127719,0.0,0.0171209,0.0360543,0.0044656,0.0121197,0.0297796,0.0124345,0.0521329
2009,0.0595868,0.0696651,0.0055185,0.0276161,0.0415822,0.0166668,0.0257978,0.0318514,0.0240232,0.0274625,0.0529177,0.029554,0.0475631,0.0598266,0.0342277,0.0334152,0.0096858,0.0419118,0.0472329,0.0001754,0.0448533,0.0149659,0.0392889,0.042345,0.0023697,0.0219233,0.0292955,0.0140817,0.013894,0.0239841,0.0320015,0.0347164
2010,0.0280469,0.0392009,0.021515,0.0219006,0.0623156,0.0359603,0.067831,0.042682,0.0219267,0.0190616,0.0252369,0.0316841,0.0834616,0.074468,0.0180977,0.0493521,0.0362304,0.0367684,0.002311,0.0125524,0.0186588,0.0502628,0.0101147,0.0121446,0.0288531,0.0172488,0.0188521,0.0193392,0.0097856,0.0137776,0.0169454,0.0534142
2011,0.0098881,0.0456342,0.0376674,0.0163201,0.0413068,0.0091011,0.0568633,0.0357906,0.0292643,0.0187792,0.0340705,0.0751224,0.0506852,0.026629,0.0090979,0.025203,0.0364525,0.0209416,0.0140291,0.0119863,0.029958,0.0202251,0.0289961,0.032088,0.0260626,0.0242165,0.0289665,0.0364417,0.0604071,0.0322089,0.0217498,0.0538469
2012,0.0392139,0.0234092,0.0649869,0.0268861,0.0322376,0.0103647,0.050365,0.0208612,0.0124123,0.0076309,0.0248989,0.0430333,0.0503265,0.0188974,0.0518834,0.0466541,0.0414854,0.0248501,0.0253314,0.0453957,0.0090979,0.0337818,0.032579,0.0096457,0.0187252,0.0054679,0.0432529,0.0054351,0.0670836,0.0275457,0.0319536,0.0543077
2013,0.0787111,0.0572387,0.0908803,0.0102989,0.021908,0.0140593,0.0119268,0.0219577,0.0181056,0.0045998,0.012363,0.0087259,0.0547689,0.0322921,0.0105132,0.0086928,0.0085251,0.0450524,0.0590256,0.0385214,0.0414253,0.018874,0.0363818,0.029079,0.0103782,0.0090824,0.0075979,0.015165,0.080354,0.0738049,0.046329,0.0233618
2014,0.0404479,0.0227088,0.0672349,0.008523,0.0447021,0.020712,0.0475432,0.0302834,0.0087942,0.0046182,0.0430482,0.0118603,0.0676893,0.0137632,0.0120557,0.0165951,0.0145123,0.0348902,0.0225813,0.0363941,0.0385677,0.0096607,0.0620321,0.0431729,0.0257075,0.0192406,0.0189372,0.0598542,0.0384125,0.0477799,0.0371897,0.0304878
